total_sessions,completed_sessions,completion_rate,favorite_count,favorite_rate,avg_duration_minutes,avg_active_seconds,avg_engagement_ratio,calm_type_ratio,balanced_type_ratio,active_type_ratio,feedback_positive_score,feedback_present_rate,target_label
15,9,0.6,0,0.0,10.5606,252.5131,0.3985,0.6503,0.3301,0.0196,0.3991,0.1637,calm
16,6,0.375,1,0.0625,6.8792,157.2144,0.3809,0.7431,0.1531,0.1038,0.2071,0.3687,calm
34,32,0.9412,3,0.0882,36.6834,2342.3288,1.0642,0.0847,0.189,0.7262,0.8614,0.5409,active
21,12,0.5714,0,0.0,11.4796,350.8112,0.5093,0.8176,0.1441,0.0382,0.2086,0.4233,calm
16,11,0.6875,0,0.0,21.9856,744.9263,0.5647,0.3058,0.4339,0.2603,0.6828,0.6265,balanced
8,4,0.5,1,0.125,18.9076,839.5776,0.7401,0.2923,0.4811,0.2266,0.3881,0.5132,balanced
27,10,0.3704,3,0.1111,5.7597,140.1314,0.4055,0.7676,0.1203,0.1121,0.5443,0.1109,calm
23,14,0.6087,4,0.1739,6.4989,323.4052,0.8294,0.7871,0.1729,0.04,0.3026,0.1704,calm
27,12,0.4444,0,0.0,17.4736,869.578,0.8294,0.1912,0.5077,0.3011,0.6504,0.4812,balanced
10,8,0.8,3,0.3,13.24,476.963,0.6004,0.2106,0.3875,0.4019,0.6463,0.4494,balanced
44,31,0.7045,8,0.1818,13.5629,740.0555,0.9094,0.3478,0.4452,0.207,0.5776,0.2459,balanced
17,13,0.7647,5,0.2941,19.6143,1036.087,0.8804,0.3619,0.4407,0.1974,0.3947,0.4599,balanced
47,30,0.6383,2,0.0426,19.5044,912.5646,0.7798,0.2953,0.3784,0.3263,0.5363,0.5003,balanced
59,51,0.8644,4,0.0678,24.5131,1497.9993,1.0185,0.0396,0.1414,0.819,0.571,0.6422,active
22,19,0.8636,7,0.3182,21.0607,923.2091,0.7306,0.1353,0.2266,0.638,0.5665,0.4005,active
20,13,0.65,7,0.35,15.0981,652.0895,0.7198,0.3101,0.4936,0.1962,0.7157,0.5377,balanced
14,8,0.5714,2,0.1429,8.4064,361.3555,0.7164,0.7994,0.138,0.0626,0.1548,0.3296,calm
76,50,0.6579,10,0.1316,43.6741,1933.4327,0.7378,0.0857,0.2119,0.7024,0.9066,0.5979,active
21,16,0.7619,4,0.1905,14.3172,742.9284,0.8648,0.397,0.3596,0.2435,0.5269,0.5954,balanced
23,15,0.6522,0,0.0,8.38,392.4159,0.7805,0.7004,0.2559,0.0438,0.5479,0.339,calm
33,17,0.5152,9,0.2727,17.2323,933.3805,0.9027,0.3399,0.4036,0.2565,0.6609,0.4014,balanced
13,8,0.6154,1,0.0769,9.269,236.0371,0.4244,0.7069,0.1703,0.1228,0.1984,0.1741,calm
33,26,0.7879,4,0.1212,17.949,768.2347,0.7133,0.2328,0.45,0.3172,0.5497,0.6743,balanced
17,10,0.5882,4,0.2353,26.316,1256.9578,0.7961,0.1538,0.1443,0.7019,0.8598,0.5905,active
32,18,0.5625,9,0.2812,6.7657,253.962,0.6256,0.6769,0.2397,0.0835,0.2083,0.3962,calm
31,27,0.871,5,0.1613,32.4799,1936.478,0.9937,0.1234,0.2354,0.6412,0.5752,0.8771,active
7,4,0.5714,2,0.2857,6.8285,266.8988,0.6514,0.6704,0.2618,0.0678,0.3349,0.1644,calm
8,3,0.375,0,0.0,11.3506,554.9333,0.8148,0.7003,0.2426,0.0571,0.4118,0.3091,calm
41,25,0.6098,8,0.1951,14.2414,756.4474,0.8853,0.2339,0.4734,0.2926,0.4467,0.3864,balanced
26,18,0.6923,9,0.3462,10.7232,477.255,0.7418,0.6508,0.3226,0.0267,0.161,0.1002,calm
42,25,0.5952,13,0.3095,14.9406,710.8386,0.793,0.3027,0.458,0.2392,0.6629,0.6119,balanced
65,59,0.9077,0,0.0,22.1636,962.6373,0.7239,0.0725,0.2244,0.7031,0.7877,0.9476,active
21,15,0.7143,4,0.1905,13.0469,436.9794,0.5582,0.3037,0.448,0.2483,0.4657,0.2409,balanced
24,13,0.5417,3,0.125,10.7835,247.7636,0.3829,0.6437,0.2559,0.1004,0.5531,0.3949,calm
54,44,0.8148,4,0.0741,20.6085,1303.3216,1.054,0.1579,0.2163,0.6258,0.6781,0.4126,active
25,17,0.68,7,0.28,14.0318,716.2681,0.8508,0.2747,0.4799,0.2455,0.4607,0.2665,balanced
42,28,0.6667,0,0.0,39.6896,2225.4602,0.9345,0.0926,0.1384,0.769,0.6182,0.8285,active
30,19,0.6333,8,0.2667,16.9725,865.122,0.8495,0.3484,0.5064,0.1452,0.5748,0.2052,balanced
47,38,0.8085,13,0.2766,26.8079,1170.3572,0.7276,0.1245,0.2395,0.636,0.7182,0.6031,active
40,29,0.725,0,0.0,34.6546,1574.0298,0.757,0.0611,0.2524,0.6865,0.6286,0.6148,active
11,8,0.7273,3,0.2727,20.988,862.803,0.6852,0.2032,0.491,0.3058,0.4613,0.5811,balanced
57,41,0.7193,6,0.1053,30.9707,1444.4962,0.7773,0.0454,0.1999,0.7547,0.7928,0.5589,active
24,11,0.4583,6,0.25,8.827,196.1549,0.3704,0.6681,0.25,0.0818,0.2592,0.1603,calm
20,8,0.4,0,0.0,10.7622,256.1433,0.3967,0.5619,0.3266,0.1114,0.5649,0.3525,calm
39,32,0.8205,11,0.2821,21.9989,1398.9157,1.0598,0.1035,0.1641,0.7323,0.9245,0.4007,active
40,24,0.6,4,0.1,23.9057,1416.4709,0.9875,0.0637,0.1571,0.7792,0.9268,0.6792,active
26,21,0.8077,5,0.1923,19.6393,697.4921,0.5919,0.3127,0.4327,0.2546,0.7023,0.4977,balanced
12,5,0.4167,4,0.3333,8.2782,177.6572,0.3577,0.6435,0.2555,0.1011,0.5227,0.0639,calm
26,12,0.4615,0,0.0,6.4565,184.6247,0.4766,0.7001,0.2224,0.0775,0.5554,0.1831,calm
15,5,0.3333,2,0.1333,5.7211,166.3702,0.4847,0.7226,0.2322,0.0452,0.1575,0.3041,calm
38,27,0.7105,11,0.2895,35.6653,1547.5943,0.7232,0.0782,0.3288,0.5929,0.6615,0.7508,active
40,20,0.5,10,0.25,15.5374,853.5721,0.9156,0.3261,0.3648,0.3091,0.624,0.5402,balanced
13,13,1.0,2,0.1538,24.9757,1217.0914,0.8122,0.0365,0.2236,0.74,0.659,0.4385,active
16,13,0.8125,2,0.125,20.1408,822.3163,0.6805,0.2799,0.3832,0.337,0.6692,0.4077,balanced
35,33,0.9429,5,0.1429,28.1682,1414.0985,0.8367,0.1349,0.2805,0.5847,0.6288,0.9133,active
45,29,0.6444,3,0.0667,17.7577,989.6221,0.9288,0.2016,0.4887,0.3098,0.6866,0.6392,balanced
29,21,0.7241,2,0.069,7.4354,365.5506,0.8194,0.7701,0.1431,0.0868,0.572,0.2419,calm
27,12,0.4444,9,0.3333,7.6838,375.1444,0.8137,0.6891,0.2707,0.0402,0.1965,0.4208,calm
20,17,0.85,0,0.0,39.832,2610.4374,1.0923,0.0703,0.3177,0.612,0.7003,0.4205,active
23,19,0.8261,2,0.087,28.0051,1426.9625,0.8492,0.0784,0.2063,0.7153,0.8961,0.5311,active
36,29,0.8056,4,0.1111,14.551,764.177,0.8753,0.3814,0.4261,0.1925,0.6287,0.4219,balanced
31,21,0.6774,5,0.1613,10.5631,225.9336,0.3565,0.7402,0.1524,0.1074,0.3283,0.0585,calm
29,15,0.5172,0,0.0,8.1816,188.8588,0.3847,0.7448,0.173,0.0822,0.4952,0.1107,calm
18,6,0.3333,0,0.0,10.9159,533.0018,0.8138,0.7444,0.1629,0.0927,0.1897,0.3539,calm
46,44,0.9565,2,0.0435,42.8084,1914.1225,0.7452,0.1128,0.1794,0.7077,0.7176,0.8795,active
17,12,0.7059,0,0.0,21.929,1235.1075,0.9387,0.3316,0.3951,0.2733,0.3596,0.4395,balanced
13,9,0.6923,4,0.3077,33.8256,2199.0497,1.0835,0.0879,0.232,0.6802,0.6015,0.3731,active
22,12,0.5455,3,0.1364,7.7129,274.9267,0.5941,0.6047,0.2909,0.1044,0.5762,0.356,calm
35,24,0.6857,3,0.0857,14.1551,540.6419,0.6366,0.2763,0.492,0.2317,0.3858,0.3107,balanced
41,29,0.7073,2,0.0488,39.7084,2500.3352,1.0495,0.0969,0.1854,0.7177,0.7774,0.8751,active
57,44,0.7719,6,0.1053,31.1703,1683.5288,0.9002,0.08,0.3232,0.5968,0.7486,0.3931,active
32,28,0.875,9,0.2812,40.6325,1733.5988,0.7111,0.1237,0.2163,0.66,0.8015,0.9403,active
31,27,0.871,8,0.2581,27.2012,1485.9597,0.9105,0.0835,0.228,0.6885,0.8844,0.7345,active
33,21,0.6364,0,0.0,6.0218,150.7655,0.4173,0.6713,0.3149,0.0139,0.2963,0.3499,calm
7,3,0.4286,1,0.1429,10.7029,464.5494,0.7234,0.6459,0.3202,0.034,0.2715,0.1249,calm
7,3,0.4286,2,0.2857,7.5446,336.6397,0.7437,0.6093,0.2975,0.0932,0.5653,0.3179,calm
7,4,0.5714,2,0.2857,8.6946,280.5056,0.5377,0.6428,0.2858,0.0714,0.2319,0.229,calm
74,52,0.7027,3,0.0405,28.3451,1866.0071,1.0972,0.0665,0.2762,0.6573,0.6816,0.6348,active
14,8,0.5714,0,0.0,6.5393,266.266,0.6786,0.7933,0.16,0.0468,0.5358,0.1722,calm
62,51,0.8226,6,0.0968,30.133,1798.4217,0.9947,0.0724,0.2269,0.7007,0.7789,0.8492,active
25,18,0.72,5,0.2,8.616,329.5047,0.6374,0.688,0.2418,0.0702,0.1504,0.3334,calm
42,34,0.8095,13,0.3095,29.2788,1507.8826,0.8583,0.0166,0.3243,0.6592,0.9729,0.6637,active
19,12,0.6316,0,0.0,21.8559,1243.8799,0.9485,0.336,0.3918,0.2722,0.59,0.563,balanced
31,15,0.4839,3,0.0968,11.029,488.6285,0.7384,0.7148,0.2219,0.0633,0.5466,0.274,calm
33,28,0.8485,3,0.0909,44.6305,1983.8601,0.7408,0.0367,0.1937,0.7697,0.8355,0.7749,active
30,13,0.4333,1,0.0333,10.2984,508.2781,0.8226,0.7496,0.1689,0.0815,0.3242,0.3795,calm
25,18,0.72,7,0.28,21.3649,1070.0111,0.8347,0.286,0.4171,0.2969,0.5817,0.6138,balanced
19,12,0.6316,3,0.1579,15.0402,647.1948,0.7172,0.2713,0.4801,0.2486,0.4842,0.4223,balanced
13,6,0.4615,2,0.1538,10.9855,373.64,0.5669,0.8206,0.095,0.0844,0.5163,0.2774,calm
25,15,0.6,6,0.24,10.6195,458.2923,0.7193,0.6677,0.2555,0.0767,0.5392,0.4417,calm
60,47,0.7833,20,0.3333,33.4128,1647.1011,0.8216,0.12,0.2118,0.6682,0.7706,0.7528,active
36,30,0.8333,7,0.1944,24.8757,1280.8341,0.8582,0.0633,0.2714,0.6654,0.6312,0.4787,active
10,6,0.6,1,0.1,9.6308,301.0825,0.521,0.7702,0.1976,0.0322,0.2597,0.2894,calm
16,13,0.8125,1,0.0625,18.6005,848.6754,0.7604,0.3998,0.3667,0.2335,0.7083,0.5184,balanced
40,34,0.85,5,0.125,13.1396,470.662,0.597,0.2543,0.4565,0.2892,0.6451,0.3325,balanced
16,12,0.75,4,0.25,18.3719,651.8854,0.5914,0.2608,0.4743,0.2648,0.462,0.4734,balanced
18,13,0.7222,1,0.0556,9.6962,403.3425,0.6933,0.6722,0.2346,0.0932,0.2672,0.2332,calm
34,29,0.8529,0,0.0,16.4361,701.4855,0.7113,0.3,0.3728,0.3272,0.4148,0.2686,balanced
9,8,0.8889,3,0.3333,12.1248,526.7058,0.724,0.3399,0.4384,0.2217,0.7435,0.6085,balanced
26,12,0.4615,1,0.0385,12.2912,519.2805,0.7041,0.2531,0.4666,0.2804,0.4125,0.5898,balanced
52,48,0.9231,0,0.0,37.5954,1794.4491,0.7955,0.0897,0.1486,0.7617,0.9531,0.6005,active
15,10,0.6667,1,0.0667,17.6836,911.9974,0.8596,0.333,0.4681,0.1989,0.5767,0.2502,balanced
23,14,0.6087,2,0.087,8.9556,334.1285,0.6218,0.6647,0.251,0.0843,0.2801,0.3277,calm
55,40,0.7273,0,0.0,39.6444,2436.7315,1.0244,0.0694,0.2938,0.6368,0.837,0.7468,active
65,41,0.6308,19,0.2923,39.4109,2046.9009,0.8656,0.1176,0.1686,0.7139,0.8327,0.598,active
22,13,0.5909,3,0.1364,19.7016,717.579,0.607,0.3072,0.3848,0.308,0.7191,0.4438,balanced
58,41,0.7069,14,0.2414,27.6393,1816.6683,1.0955,0.1312,0.1085,0.7603,0.6046,0.79,active
35,14,0.4,6,0.1714,6.4545,272.0998,0.7026,0.5921,0.3187,0.0893,0.2151,0.0716,calm
15,10,0.6667,4,0.2667,19.5714,825.8563,0.7033,0.3757,0.3631,0.2611,0.3526,0.587,balanced
16,12,0.75,5,0.3125,13.3929,662.4422,0.8244,0.3724,0.457,0.1705,0.7481,0.6962,balanced
24,9,0.375,8,0.3333,6.0757,261.7883,0.7181,0.6163,0.3589,0.0249,0.3432,0.2256,calm
31,15,0.4839,4,0.129,9.7318,490.9833,0.8409,0.7531,0.2322,0.0148,0.3451,0.2523,calm
30,19,0.6333,8,0.2667,19.4226,680.3734,0.5838,0.2666,0.5173,0.2162,0.5474,0.4307,balanced
45,34,0.7556,15,0.3333,36.524,1559.6317,0.7117,0.1167,0.1818,0.7015,0.5783,0.6089,active
68,55,0.8088,11,0.1618,24.2749,1367.8141,0.9391,0.146,0.1977,0.6563,0.7214,0.7643,active
27,24,0.8889,5,0.1852,31.3109,2058.1713,1.0956,0.094,0.3073,0.5987,0.5788,0.8487,active
38,24,0.6316,5,0.1316,22.1827,1376.9684,1.0346,0.0114,0.2407,0.7478,0.9816,0.5496,active
7,5,0.7143,1,0.1429,10.1005,269.9881,0.4455,0.6943,0.2877,0.018,0.3812,0.0758,calm
47,27,0.5745,5,0.1064,16.812,810.1839,0.8032,0.3339,0.4068,0.2592,0.4898,0.4311,balanced
56,38,0.6786,5,0.0893,40.3518,2638.502,1.0898,0.17,0.1344,0.6956,0.8596,0.3812,active
17,12,0.7059,3,0.1765,42.9656,2488.752,0.9654,0.0915,0.2458,0.6627,0.8625,0.927,active
49,48,0.9796,2,0.0408,23.884,1130.6533,0.789,0.1327,0.1226,0.7447,0.6528,0.5191,active
66,57,0.8636,3,0.0455,33.9482,2225.3077,1.0925,0.0407,0.2296,0.7297,0.8915,0.8765,active
13,5,0.3846,0,0.0,6.5834,195.3965,0.4947,0.6413,0.2484,0.1103,0.3914,0.2491,calm
25,11,0.44,7,0.28,7.2674,237.8463,0.5455,0.7665,0.1261,0.1075,0.4458,0.3243,calm
11,8,0.7273,0,0.0,7.8088,386.4506,0.8248,0.8453,0.103,0.0517,0.2796,0.1387,calm
59,55,0.9322,2,0.0339,21.781,1339.5215,1.025,0.0236,0.1797,0.7968,0.8736,0.593,active
31,16,0.5161,10,0.3226,19.7131,867.4453,0.7334,0.3436,0.4145,0.2419,0.5809,0.6809,balanced
67,64,0.9552,5,0.0746,40.4498,1874.2602,0.7723,0.0266,0.2739,0.6995,0.6008,0.7188,active
39,22,0.5641,0,0.0,13.4777,713.3796,0.8822,0.3177,0.4842,0.198,0.7208,0.3235,balanced
21,14,0.6667,4,0.1905,32.8727,1659.1046,0.8412,0.0485,0.2604,0.6911,0.9829,0.768,active
9,5,0.5556,3,0.3333,9.7555,228.5089,0.3904,0.7093,0.2741,0.0166,0.2966,0.1912,calm
21,11,0.5238,6,0.2857,15.2174,574.0709,0.6287,0.31,0.3954,0.2946,0.5106,0.3466,balanced
70,53,0.7571,22,0.3143,23.3295,1233.4393,0.8812,0.0699,0.2281,0.7019,0.8714,0.6097,active
23,14,0.6087,7,0.3043,20.4137,1058.7144,0.8644,0.3764,0.4069,0.2167,0.5488,0.4518,balanced
28,15,0.5357,0,0.0,19.0997,677.0968,0.5908,0.2258,0.464,0.3101,0.7157,0.3781,balanced
23,21,0.913,4,0.1739,40.8843,2365.4284,0.9643,0.0852,0.1908,0.7239,0.7795,0.7013,active
30,17,0.5667,3,0.1,8.7384,215.317,0.4107,0.6423,0.2887,0.069,0.3052,0.2907,calm
21,11,0.5238,1,0.0476,16.3248,588.3226,0.6006,0.3211,0.4109,0.268,0.466,0.6165,balanced
22,13,0.5909,5,0.2273,20.9497,894.0869,0.7113,0.3954,0.4017,0.2029,0.4989,0.5771,balanced
26,21,0.8077,6,0.2308,41.8935,2710.1805,1.0782,0.1753,0.1444,0.6802,0.6781,0.4513,active
24,16,0.6667,7,0.2917,7.505,318.6853,0.7077,0.6769,0.2536,0.0694,0.3624,0.4452,calm
16,10,0.625,1,0.0625,22.0222,1412.3504,1.0689,0.0329,0.1853,0.7819,0.8068,0.9258,active
25,20,0.8,7,0.28,20.4838,784.7532,0.6385,0.375,0.4106,0.2144,0.7497,0.3931,balanced
20,19,0.95,6,0.3,33.4426,1552.4268,0.7737,0.0386,0.3329,0.6284,0.9159,0.4537,active
17,7,0.4118,5,0.2941,9.0278,247.3567,0.4567,0.6892,0.2472,0.0636,0.527,0.191,calm
11,6,0.5455,3,0.2727,7.4386,206.4098,0.4625,0.7349,0.2132,0.0518,0.1912,0.2583,calm
8,3,0.375,0,0.0,9.513,377.9749,0.6622,0.8559,0.1128,0.0313,0.3469,0.2169,calm
23,19,0.8261,1,0.0435,35.7864,1792.4535,0.8348,0.1216,0.2806,0.5979,0.7706,0.536,active
